""	"AQ424"	"AQ525"	"AQ451"
"1047124"	0	0	1
"889661"	1	0	1
"2855257"	3	0	2
"938948"	8	0	9
"879040"	12	0	6
"1052264"	1	3	0
"1051517"	7	4	5
"789831"	0	3	0
"1083508"	33	0	26
"1059729"	8	0	14
"564704"	1	0	1
"362965"	0	1	0
"654742"	3	2	6
"1104529"	2	77	0
"41476"	1	0	0
"536986"	9	44	0
"792393"	1	0	1
"3393186"	1	0	0
"833645"	1	0	1
"509913"	5	128	2
"1096738"	3	3	0
"1002005"	20	8	44
"269774"	1	0	0
"1075891"	3	0	1
"578911"	4	0	5
"706432"	12	0	13
"966091"	1	0	7
"4363473"	2	0	0
"969805"	2	27	2
"516611"	1	0	3
"441265"	8	0	18
"New.0.ReferenceOTU384"	0	1	0
"New.0.ReferenceOTU246"	1	0	0
"New.0.ReferenceOTU23"	0	2	0
"New.0.ReferenceOTU177"	0	2	0
"New.0.ReferenceOTU174"	0	31	1
"New.0.ReferenceOTU570"	1	0	0
"New.0.ReferenceOTU576"	0	1	0
"New.0.ReferenceOTU300"	2	0	0
"New.0.ReferenceOTU302"	0	1	0
"New.0.ReferenceOTU782"	0	7	2
"New.0.ReferenceOTU392"	1	4	40
"New.0.ReferenceOTU347"	0	6	0
"New.0.ReferenceOTU179"	8	0	0
"New.0.ReferenceOTU138"	0	1	9
"New.0.ReferenceOTU618"	3	0	0
"New.0.ReferenceOTU541"	0	1	0
"New.0.ReferenceOTU58"	0	1	0
"New.0.ReferenceOTU649"	0	1	0
"New.0.ReferenceOTU311"	0	4	0
"New.0.ReferenceOTU727"	0	5	24
"New.0.ReferenceOTU791"	5	404	806
"New.0.ReferenceOTU445"	1	6	0
"New.0.ReferenceOTU453"	0	0	1
"New.0.ReferenceOTU100"	0	4	0
"New.0.ReferenceOTU428"	1	26	1
"New.0.ReferenceOTU421"	1	1	0
"New.0.ReferenceOTU216"	0	16	0
"New.0.ReferenceOTU358"	2	0	0
"New.0.ReferenceOTU359"	1	0	0
"New.0.ReferenceOTU695"	0	1	0
"New.0.ReferenceOTU806"	0	2	0
"New.0.ReferenceOTU678"	0	4	25
"New.0.ReferenceOTU488"	0	3	0
"New.0.ReferenceOTU411"	0	2	0
"New.0.ReferenceOTU41"	0	3	2
"New.0.ReferenceOTU43"	38	62	479
"New.0.ReferenceOTU325"	0	0	1
"New.0.ReferenceOTU103"	1	0	6
"New.0.ReferenceOTU31"	0	1	0
"New.0.ReferenceOTU329"	0	1	0
"New.0.ReferenceOTU167"	0	5	0
"New.0.ReferenceOTU161"	0	20	0
"New.0.ReferenceOTU162"	0	1	0
"New.0.ReferenceOTU680"	0	17	0
"New.0.ReferenceOTU113"	2	0	0
"New.0.ReferenceOTU357"	5	4	6
"New.0.CleanUp.ReferenceOTU1621"	1	0	0
"New.0.CleanUp.ReferenceOTU9034"	1	1	0
"New.0.CleanUp.ReferenceOTU15172"	1	0	6
"New.0.CleanUp.ReferenceOTU16366"	0	0	21
"New.0.CleanUp.ReferenceOTU19193"	150	1	0
"New.0.CleanUp.ReferenceOTU22451"	1	0	0
"New.0.CleanUp.ReferenceOTU24853"	1	0	6
"New.0.CleanUp.ReferenceOTU32266"	0	5	0
"New.0.CleanUp.ReferenceOTU32288"	8	0	1
"New.0.CleanUp.ReferenceOTU73319"	0	0	1
"New.0.CleanUp.ReferenceOTU74266"	0	1	0
"New.0.CleanUp.ReferenceOTU100929"	0	0	1
"New.0.CleanUp.ReferenceOTU104032"	1	0	0
"New.0.CleanUp.ReferenceOTU104626"	2	0	0
"New.0.CleanUp.ReferenceOTU106318"	0	0	1
"New.0.CleanUp.ReferenceOTU108577"	8	0	0
"New.0.CleanUp.ReferenceOTU111110"	0	0	33
"New.0.CleanUp.ReferenceOTU111477"	1	0	0
"New.0.CleanUp.ReferenceOTU116380"	24	0	0
"New.0.CleanUp.ReferenceOTU116408"	0	0	1
"New.0.CleanUp.ReferenceOTU119987"	1	0	0
"New.0.CleanUp.ReferenceOTU125389"	1	0	0
"New.0.CleanUp.ReferenceOTU131470"	93	0	0
"New.0.CleanUp.ReferenceOTU134906"	0	11	0
"New.0.CleanUp.ReferenceOTU139618"	0	0	3
"New.0.CleanUp.ReferenceOTU139868"	1	0	0
"New.0.CleanUp.ReferenceOTU143701"	0	1	0
"New.1.ReferenceOTU264"	0	0	1
"New.1.CleanUp.ReferenceOTU26526"	1	0	1
"New.1.CleanUp.ReferenceOTU49076"	1	0	0
"New.1.CleanUp.ReferenceOTU84143"	1	0	0
"New.3.ReferenceOTU478"	10	0	11
"New.3.ReferenceOTU69"	1	0	0
"New.3.ReferenceOTU520"	2	0	0
"New.3.ReferenceOTU105"	59	0	0
"New.3.ReferenceOTU59"	2	0	3
"997439"	1	0	0
