""	"AQ1409"	"AQ1334"	"AQ1331"	"AQ1333"	"AQ1227"	"AQ968"	"AQ1022"	"AQ1150"	"AQ1177"	"AQ1358"	"AQ1229"	"AQ1280"	"AQ1100"	"AQ1383"	"AQ1385"	"AQ1386"	"AQ1410"	"AQ1411"	"AQ1412"	"AQ1253"
"1017181"	0	0	0	0	0	1	0	1	1	2	0	1	0	0	0	0	0	0	0	0
"248395"	0	3	1	0	15	10	20	18	6	13	5	6	11	1	0	1	0	5	7	8
"989870"	0	0	0	1	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0
"503174"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"262095"	0	0	0	0	0	0	3	0	23	0	75	0	0	0	20	0	0	14	0	0
"583656"	0	0	0	0	0	0	0	0	17	0	79	0	0	0	65	0	0	51	0	0
"367535"	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1	0	0
"537290"	0	0	5	0	1	0	0	0	0	0	0	0	0	25	0	0	0	1	0	1
"984831"	0	0	4	0	0	0	4	1	0	1	0	1	2	4	0	1	0	0	0	2
"1080820"	0	0	6	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
"942852"	0	0	1	0	0	1	2	1	1	0	0	0	0	0	0	0	0	0	0	1
"588659"	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"1081815"	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
"1088305"	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0
"988314"	0	0	4	0	9	0	8	0	0	11	0	1	1	1	1	1	1	0	5	5
"956811"	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0
"813945"	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
"279204"	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
"4307652"	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"183182"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"587912"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"589754"	0	0	0	0	0	0	2	0	0	1	0	0	1	0	0	0	1	0	0	0
"1013670"	0	0	3	0	0	0	0	0	0	0	0	9	0	1	0	0	0	0	0	0
"532336"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"279193"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"1108289"	0	2	0	0	3	2	2	9	1	2	0	3	12	1	0	0	0	0	6	2
"574655"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
"995960"	0	0	0	0	2	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0
"860929"	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0
"37948"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0
"529216"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	5	0	0
"818181"	0	0	0	7	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
"716006"	0	0	8	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
"1106617"	0	138	244	2	426	250	379	313	101	352	30	198	372	72	2	45	4	26	347	379
"269907"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"787709"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"968954"	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"559527"	0	0	102	0	0	0	0	0	0	136	0	4	0	1	0	0	0	0	0	0
"1654477"	1067	2	430	0	0	0	50	0	1080	0	767	0	6	10	982	8	0	960	54	3
"589547"	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"1108638"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"239951"	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"830290"	0	0	22	0	0	0	0	0	0	5	0	4	0	0	0	1	0	0	0	0
"806566"	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0
"820086"	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
"1083037"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	1	0
"450209"	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
"108049"	0	0	3	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
"310003"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"540982"	68	0	31	0	1	0	0	0	220	1	202	0	0	0	125	0	0	85	0	0
"697479"	0	1	4	0	3	0	1	3	0	3	1	3	3	0	0	1	0	0	1	3
"813418"	0	2	3	0	13	3	6	14	1	3	0	9	11	0	0	1	0	1	2	11
"544847"	0	49	68	1	165	121	246	168	33	120	6	98	143	43	0	22	6	28	126	141
"544841"	1	0	8	0	17	4	36	22	4	8	0	8	19	5	0	3	0	4	13	15
"271297"	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"1011712"	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"894928"	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	3
"337083"	313	14	54	0	14	123	78	8	106	54	68	12	1	6	194	233	129	124	52	10
"805854"	0	0	0	0	0	0	0	0	4	0	2	0	0	0	15	0	0	2	0	0
"528421"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0
"133075"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"547396"	0	0	2	432	5	1	0	0	1	9	1	4	2	23	0	1	0	0	5	0
"940737"	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"903158"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"308081"	10	0	2	0	0	0	1	0	7	0	4	0	0	0	2	0	0	3	5	1
"674655"	2	6	15	0	18	11	25	19	1	18	6	11	13	7	0	2	2	10	23	31
"209511"	0	0	5	0	0	0	1	0	0	53	0	0	1	0	0	0	0	0	0	2
"974121"	0	0	0	0	2	1	1	0	1	2	0	0	0	0	0	0	0	1	0	0
"1866742"	0	0	1	0	0	10	1	1	0	10	0	0	2	0	0	0	0	0	0	0
"1139618"	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
"388951"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"566062"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"297672"	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
"1084865"	1	1	1	0	5	3	9	4	0	3	0	7	3	2	0	0	2	1	2	2
"829851"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"963779"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"265873"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"804735"	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	2
"1009894"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
"1009362"	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0
"1082059"	0	0	2	0	0	0	0	2	0	31	2	27	0	0	0	0	0	3	0	0
"1097359"	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"541299"	0	4	8	0	20	16	30	28	2	26	2	11	23	3	0	3	2	1	8	14
"276149"	0	0	0	0	0	0	19	0	0	0	0	0	0	0	1	0	0	0	0	0
"559613"	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	2	0	0
"780788"	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"97361"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"914108"	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"2752360"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0
"1111944"	0	2	4	0	3	8	13	15	2	6	0	3	5	2	0	0	1	1	8	1
"836539"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1
"829814"	0	0	4	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	3
"1042850"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"830688"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"1049387"	0	0	9	0	5	3	11	8	1	6	0	9	3	0	0	1	0	0	1	7
"711803"	0	1	2	0	6	1	7	6	4	1	0	1	4	3	0	0	0	2	2	2
"1082539"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"1069816"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"593209"	0	0	6	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
"1062748"	0	9	4	0	12	1	13	3	4	3	1	4	5	2	0	1	0	2	8	6
"584109"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"308309"	1	0	0	0	0	1	0	0	2	0	1	0	0	0	0	1	1	1	0	0
"4385756"	20	0	2	0	1	0	3	0	18	0	22	0	0	1	23	1	1	13	0	0
"965048"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"1108960"	0	0	2	0	0	0	1	1	0	1	0	1	0	0	0	0	1	0	1	3
"574102"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"833317"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"132837"	0	1	11	0	7	33	0	147	1	121	0	147	13	1	0	0	4	0	10	12
"1107011"	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
"845561"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
"987760"	0	5	6	0	56	12	25	56	28	6	2	35	23	26	2	3	1	20	7	26
"1044436"	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
"953050"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"836783"	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
"179845"	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"785526"	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"590218"	0	4	4	0	0	0	2	0	0	0	0	0	0	0	0	12	0	0	0	0
"1068902"	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0
"666666"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"579608"	0	0	1	0	6	0	3	0	0	1	0	1	0	2	0	0	0	0	0	0
"646549"	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
"902334"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"351979"	270	0	68	0	0	0	9	0	220	1	306	0	0	17	228	0	0	176	0	4
"351976"	0	0	0	0	0	102	0	8	0	16	0	0	0	0	0	1	394	0	0	0
"836573"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
"403068"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"503387"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"1040713"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"721526"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"839235"	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"580411"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	2	0
"9510"	0	26	4	0	0	87	79	323	4	440	2	305	29	0	0	1350	2799	0	218	0
"156357"	0	3	1	0	2097	452	125	105	0	72	0	1015	21	9	0	2	123	0	0	1967
"768553"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	7	0	0
"529652"	0	0	0	0	0	0	0	0	13	0	13	0	0	0	9	0	0	7	0	0
"992510"	0	14	37	1	66	67	161	79	16	69	3	76	80	13	0	9	1	10	64	83
"128390"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"933546"	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
"807369"	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
"1020605"	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"176420"	0	0	0	0	0	0	0	0	2	2	0	0	2	0	0	0	0	0	5	0
"979107"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
"1075821"	0	0	1	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0	0	0
"889025"	0	0	3	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	2	0
"703741"	0	0	5	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0
"1133602"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"582379"	0	0	2	0	0	0	3	0	3	0	27	0	0	0	85	0	0	29	0	0
"823476"	0	0	4	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0
"543151"	0	0	12	0	0	0	0	0	0	3	0	3	1	4	0	0	1	1	1	2
"1108275"	0	1	3	0	7	2	9	6	0	1	0	2	1	1	0	0	0	0	1	4
"153687"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"1834768"	0	0	1	0	2	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0
"160015"	0	0	0	1	0	3	4	9	0	7	0	1	1	1	0	24	28	0	0	0
"291844"	1	1	0	0	0	2	1	1	5	0	1	0	0	0	4	0	0	1	0	0
"156145"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"573035"	0	24	40	1	60	70	101	100	27	65	5	33	79	26	2	2	1	19	87	64
"568556"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"656307"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"590586"	0	0	1	0	0	0	0	0	1	4	0	0	0	1	0	0	0	0	0	0
"593724"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"4476095"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"548576"	0	0	56	1	0	0	0	2	2	42	4	79	4	45	0	1	1	24	10	31
"1106324"	0	5	9	0	16	5	11	12	2	11	1	6	11	3	0	0	0	2	12	13
"288029"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"239345"	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	1	0	0
"4342113"	0	0	4	1	0	0	0	2	0	1	0	3	2	2	0	1	0	0	0	0
"553623"	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
"591748"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"712677"	0	0	1	0	0	1	2	2	0	1	0	0	6	0	0	0	15	0	0	0
"828483"	358	20	40	0	1	1	114	4	1100	19	1071	0	2	13	484	116	213	891	103	6
"539735"	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	2	0
"152229"	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0
"667570"	0	0	2	0	0	0	1	0	1	0	3	0	0	3	0	0	0	1	0	0
"571320"	0	4	0	0	0	4	4	22	16	24	0	12	14	0	0	0	0	0	5	0
"1016923"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0
"996487"	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
"1084952"	0	0	13	0	4	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
"4422519"	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
"1005844"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"433739"	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
"544680"	0	0	8	0	24	430	0	526	1	210	0	163	0	0	1	0	0	0	0	117
"1011088"	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
"807522"	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
"1111582"	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0
"572889"	1254	2	413	0	12	0	74	0	472	6	375	0	2	62	393	13	0	413	58	40
"446403"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
"34791"	0	0	0	330	0	0	0	0	1	0	0	0	0	13	0	0	0	1	0	0
"1108726"	0	44	78	1	139	124	129	112	45	136	5	64	121	20	4	16	2	17	104	140
"990864"	0	0	7	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1
"359750"	5	1	0	0	0	0	2	0	15	0	18	0	0	0	2	0	2	10	4	0
"579141"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"909420"	0	0	1	0	0	0	3	0	1	0	0	0	0	1	0	0	0	0	0	0
"538602"	0	1	0	0	0	9	0	0	0	48	0	6	6	0	0	0	0	0	43	0
"544313"	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0
"1047041"	1	0	2	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	2	0
"593997"	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
"835594"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1
"578837"	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"570444"	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
"922761"	0	0	1	0	1	1	1	0	0	1	1	0	1	0	0	0	0	1	3	0
"4028105"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"1099914"	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0
"233981"	2	0	282	0	10	0	0	0	3	0	9	0	0	216	2	0	0	18	3	28
"587444"	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2
"1029165"	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
"563572"	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
"581231"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"584500"	0	0	5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
"1074210"	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"519864"	0	0	0	0	0	0	0	0	8	1	28	0	0	0	1	0	0	12	1	0
"582018"	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"589040"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"27938"	0	0	6	0	0	0	0	1	0	0	1	12	0	0	0	0	0	0	1	1
"883748"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"739614"	0	1	2	0	0	6	1	1	0	66	0	13	19	0	0	0	0	0	82	0
"1068572"	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"593489"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
"350697"	331	0	8	0	0	0	0	0	0	0	0	1	0	0	0	0	488	0	0	0
"1003206"	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0	1	2
"4360168"	0	0	0	0	0	1	0	1	2	0	0	0	0	0	0	0	0	0	1	0
"1101488"	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	2	0	1
"1083194"	0	0	4	1	2	2	9	0	2	1	0	0	0	1	0	1	3	0	1	0
"199416"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"255161"	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
"533373"	3	0	1	0	0	0	0	0	13	0	10	0	0	0	7	0	0	4	0	0
"938948"	0	0	5	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"1052264"	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0
"585493"	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"1051517"	0	0	0	0	1	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0
"789831"	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"1083508"	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	2	4
"1059729"	0	0	5	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
"42256"	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"564704"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"362965"	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
"1104529"	0	12	2	0	31	1	11	14	8	9	3	10	3	19	1	2	0	9	8	31
"536986"	0	0	0	0	0	0	0	0	7	0	29	0	0	0	39	0	0	30	0	0
"792393"	0	0	1	0	0	0	0	0	16	0	9	0	0	0	6	0	0	41	1	0
"833645"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"509913"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0
"1145070"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"1002005"	1	1	0	0	0	11	1	12	1	1	0	1	17	1	0	0	1	0	1	0
"269774"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"706432"	0	0	0	0	0	0	1	0	0	23	0	0	0	0	2	0	0	1	6	1
"814282"	0	14	28	0	45	44	64	45	7	81	6	15	76	12	0	7	2	4	57	42
"4363473"	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"441265"	0	0	0	0	0	0	0	2	0	0	0	0	0	7	0	0	0	0	1	0
"New.0.ReferenceOTU384"	0	1	8	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0
"New.0.ReferenceOTU246"	0	2	0	0	1	0	0	1	3	0	0	0	0	2	0	0	0	0	2	0
"New.0.ReferenceOTU587"	0	0	2	807	0	0	0	0	0	0	0	0	0	6	0	0	0	0	1	0
"New.0.ReferenceOTU584"	0	0	0	0	0	1	0	0	0	6	0	0	0	0	0	0	0	1	0	0
"New.0.ReferenceOTU90"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
"New.0.ReferenceOTU23"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"New.0.ReferenceOTU827"	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	1
"New.0.ReferenceOTU176"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"New.0.ReferenceOTU177"	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
"New.0.ReferenceOTU174"	0	0	0	0	1	10	0	5	0	2	0	2	0	1	0	0	0	0	0	10
"New.0.ReferenceOTU570"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"New.0.ReferenceOTU782"	0	0	0	0	0	5	0	0	0	7	0	0	0	0	0	0	0	0	0	0
